CollegeName,TotalRegistrations,State
MADANAPALLE INSTITUTE OF TECHNOLOGY & SCIENCE,3,Andhra Pradesh
DR BC ROY ENGINEERING COLLEGE,3,West Bengal
VNRVJIET,3,Telangana
AMRITA VISHWA VIDYAPEETHAM CHENNAI,3,Tamil Nadu
IIT PATNA,3,Bihar
KAKINADA INSTITUTIONS OF ENGINEERING AND TECHNOLOGY,3,Andhra Pradesh
KAKINADA INSTITUTE OF ENGINEERING AND TECHNOLGY,3,Andhra Pradesh
SNIST,3,Telangana
AKSHAYA WOMEN'S DEGREE COLLEGE,3,Tamil Nadu
SVHU - SATAVAHANA UNIVERSITY,3,Telangana
VISHWA VISHWANI INSTITUTE OF SYSTEMS AND MANAGEMENT,3,Telangana
MIC COLLEGE OF TECHNOLOGY,3,Andhra Pradesh
KALINGA INSTITUTE OF INDUSTRIAL TECHNOLOGY,3,Odisha
MALLA REDDY COLLEGE OF ENGINEERING AND TECHNOLOGY,3,Telangana
VSB ENGINEERING COLLEGE,3,Tamil Nadu
INDIAN INSTITUTE OF INFORMATION TECHNOLOGY,3,Telangana
ST. JOSEPH'S COLLEGE OF ENGINEERING,3,Tamil Nadu
GAYATRI VIDYA PARISHAD COLLEGE OF ENGINEERING(AUTONOMOUS),3,Andhra Pradesh
AKIT - ABDULKALAM INST OF TECHNOLOGY AND SCI,3,Bihar
GLA UNIVERSITY MATHURA,3,Uttar Pradesh
ARJN - ARJUN COLLEGE OF TECHNOLOGY AND SCIENCE,2,Telangana
MNRT - MNRCOLLEGE OF ENGINEERING AND TECHNOLOGY,2,Telangana
OSMANIA COLLEGE,2,Telangana
SRM AP,2,Andhra Pradesh
VASIREDDY VENKATADHRI INSTITUTE OF TECHNOLOGY,2,Andhra Pradesh
"AMRITA SCHOOL OF ENGINEERING, BENGALURU",2,Karnataka
MUTHAYAMMAL ENGINEERING COLLEGE,2,Tamil Nadu
SRI KRISHNADEVARAYA UNIVERSITY COLLEGE OF ENGINEERING AND TECHNOLOGY,2,Andhra Pradesh
IIT DELHI,2,Delhi
CHET - SRI CHAITANYA TECHNICAL CAMPUS,2,Andhra Pradesh
R.M.K ENGINEERING COLLEGE,2,Tamil Nadu
UNIVERSITY AT BUFFALO,2,New York
PACE INSTITUTE OF TECHNOLOGY AND SCIENCE,2,Andhra Pradesh
VIGNAN'S LARA INSTITUTE OF TECHNOLOGY & SCIENCE,2,Andhra Pradesh
NORTHWEST MISSOURI STATE UNIVERSITY,2,Missouri
D.N.R COLLEGE OF ENGINEERING AND TECHNOLOGY,2,Andhra Pradesh
BNM INSTITUTE OF TECHNOLOGY,2,Karnataka
SIR PADAMPAT SINGHANIA UNIVERSITY,2,Rajasthan
SAINT LOUIS UNIVERSITY,2,SAINT LOUIS UNIVERSITY is not located in India.
NORTHEASTERN UNIVERSITY,2,Massachusetts
NATIONAL INSTITUTE OF TECHNOLOGY DURGAPUR,2,West Bengal
GITAM VISAKHAPATNAM,2,Andhra Pradesh
SANSKRITHI SCHOOL OF ENGINEERING,2,Andhra Pradesh
SRM AP UNIVERSITY,2,Andhra Pradesh
CHTN - SREE CHAITANYA COLLEGE OF ENGINEERING,2,Andhra Pradesh
ADARSH COLLEGE OF ENGINEERING,2,Maharashtra
VIT VELLORE,2,Tamil Nadu
VIGNAN UNIVERSITY,2,Andhra Pradesh
UNIVERSITY OF TEXAS AT DALLAS,2,Texas
INDIAN INSTITUTE OF INFORMATION TECHNOLOGY NAGPUR,2,Maharashtra
PVP SIDDHARTHA INSTITUTE OF TECHNOLOGY,2,Andhra Pradesh
PVP SIDDHARTH INSTITUTE OF TECHNOLOGY,2,Andhra Pradesh
